Year Drafted,Player,Rk,Player Link
2001,Ken Johnson,49,/players/j/johnske03.html
2001,Ruben Boumtje-Boumtje,50,/players/b/boumtru01.html
2001,Alton Ford,51,/players/f/fordal02.html
2001,Andre Hutson,52,/players/h/hutsoan01.html
2001,Jarron Collins,53,/players/c/collija03.html
2001,Kenny Satterfield,54,/players/s/satteke01.html
2001,Maurice Jeffers,55,/players/j/jeffema01.html
2001,Robertas Javtokas,56,/players/j/javtoro01.html
2001,Alvin Jones,57,/players/j/jonesal01.html
2001,Bryan Bracey,58,/players/b/bracebr01.html
2002,Yao Ming,1,/players/m/mingya01.html
2002,Jay Williams,2,/players/w/willija03.html
2002,Mike Dunleavy,3,/players/d/dunlemi02.html
2002,Drew Gooden,4,/players/g/goodedr01.html
2002,Nikoloz Tskitishvili,5,/players/t/tskitni01.html
2002,Dajuan Wagner,6,/players/w/wagneda02.html
2002,Nenê,7,/players/h/hilarne01.html
2002,Chris Wilcox,8,/players/w/wilcoch01.html
2002,Amar'e Stoudemire,9,/players/s/stoudam01.html
2002,Caron Butler,10,/players/b/butleca01.html
2002,Jared Jeffries,11,/players/j/jeffrja01.html
2002,Melvin Ely,12,/players/e/elyme01.html
2002,Marcus Haislip,13,/players/h/haislma01.html
2002,Fred Jones,14,/players/j/jonesfr01.html
2002,Boštjan Nachbar,15,/players/n/nachbbo01.html
2002,Jiří Welsch,16,/players/w/welscji01.html
2002,Juan Dixon,17,/players/d/dixonju01.html
2002,Curtis Borchardt,18,/players/b/borchcu01.html
2002,Ryan Humphrey,19,/players/h/humphry01.html
2002,Kareem Rush,20,/players/r/rushka01.html
2002,Qyntel Woods,21,/players/w/woodsqy01.html
2002,Casey Jacobsen,22,/players/j/jacobca01.html
2002,Tayshaun Prince,23,/players/p/princta01.html
2002,Nenad Krstić,24,/players/k/krstine01.html
2002,Frank Williams,25,/players/w/willifr02.html
2002,John Salmons,26,/players/s/salmojo01.html
2002,Chris Jefferies,27,/players/j/jeffech01.html
2002,Dan Dickau,28,/players/d/dickada01.html
2002,Steve Logan,30,/players/l/loganst01.html
2002,Roger Mason,31,/players/m/masonro01.html
2002,Robert Archibald,32,/players/a/archiro01.html
2002,Vincent Yarbrough,33,/players/y/yarbrvi01.html
2002,Dan Gadzuric,34,/players/g/gadzuda01.html
2002,Carlos Boozer,35,/players/b/boozeca01.html
2002,Milos Vujanic,36,/players/v/vujanmi01.html
2002,David Andersen,37,/players/a/anderda03.html
2002,Tito Maddox,38,/players/m/maddoti01.html
2002,Rod Grizzard,39,/players/g/grizzro01.html
2002,Juan Carlos Navarro,40,/players/n/navarju01.html
2002,Mario Kasun,41,/players/k/kasunma01.html
2002,Ronald Murray,42,/players/m/murraro01.html
2002,Jason Jennings,43,/players/j/jennija01.html
2002,Lonny Baxter,44,/players/b/baxtelo01.html
2002,Sam Clancy,45,/players/c/clancsa02.html
2002,Matt Barnes,46,/players/b/barnema02.html
2002,Jamal Sampson,47,/players/s/sampsja01.html
2002,Chris Owens,48,/players/o/owensch01.html
2002,Peter Fehse,49,/players/f/fehsepe01.html
2002,Darius Songaila,50,/players/s/songada01.html
2002,Federico Kammerichs,51,/players/k/kammefe01.html
2002,Marcus Taylor,52,/players/t/tayloma03.html
2002,Rasual Butler,53,/players/b/butlera01.html
2002,Tamar Slay,54,/players/s/slayta01.html
